timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/05/15 14:50:35.913, 0 %, 0 %, 44
2025/05/15 14:50:40.913, 0 %, 0 %, 44
2025/05/15 14:50:45.914, 0 %, 0 %, 44
2025/05/15 14:50:50.914, 0 %, 0 %, 44
2025/05/15 14:50:55.915, 0 %, 0 %, 44
2025/05/15 14:51:00.915, 0 %, 0 %, 44
2025/05/15 14:51:05.916, 0 %, 0 %, 44
2025/05/15 14:51:10.916, 0 %, 0 %, 44
2025/05/15 14:51:15.917, 0 %, 0 %, 44
2025/05/15 14:51:20.917, 0 %, 0 %, 44
2025/05/15 14:51:25.918, 0 %, 0 %, 44
2025/05/15 14:51:30.918, 0 %, 0 %, 44
2025/05/15 14:51:35.919, 0 %, 0 %, 44
2025/05/15 14:51:40.919, 0 %, 0 %, 44
2025/05/15 14:51:45.920, 0 %, 0 %, 44
2025/05/15 14:51:50.920, 0 %, 0 %, 44
2025/05/15 14:51:55.920, 0 %, 0 %, 44
2025/05/15 14:52:00.921, 0 %, 0 %, 44
2025/05/15 14:52:05.921, 0 %, 0 %, 44
2025/05/15 14:52:10.922, 0 %, 0 %, 44
2025/05/15 14:52:15.922, 0 %, 0 %, 44
2025/05/15 14:52:20.923, 0 %, 0 %, 44
2025/05/15 14:52:25.923, 0 %, 0 %, 44
2025/05/15 14:52:30.924, 0 %, 0 %, 44
2025/05/15 14:52:35.924, 0 %, 0 %, 44
2025/05/15 14:52:40.925, 0 %, 0 %, 44
2025/05/15 14:52:45.925, 0 %, 0 %, 44
2025/05/15 14:52:50.926, 0 %, 0 %, 44
2025/05/15 14:52:55.926, 0 %, 0 %, 44
2025/05/15 14:53:00.927, 0 %, 0 %, 44
2025/05/15 14:53:05.927, 0 %, 0 %, 44
2025/05/15 14:53:10.927, 0 %, 0 %, 44
2025/05/15 14:53:15.928, 0 %, 0 %, 44
2025/05/15 14:53:20.928, 0 %, 0 %, 44
2025/05/15 14:53:25.929, 0 %, 0 %, 44
2025/05/15 14:53:30.929, 0 %, 0 %, 43
2025/05/15 14:53:35.930, 0 %, 0 %, 43
2025/05/15 14:53:40.930, 0 %, 0 %, 43
2025/05/15 14:53:45.931, 0 %, 0 %, 43
2025/05/15 14:53:50.931, 0 %, 0 %, 43
2025/05/15 14:53:55.932, 0 %, 0 %, 43
2025/05/15 14:54:00.932, 0 %, 0 %, 43
2025/05/15 14:54:05.933, 0 %, 0 %, 43
2025/05/15 14:54:10.933, 0 %, 0 %, 43
2025/05/15 14:54:15.934, 0 %, 0 %, 43
2025/05/15 14:54:20.934, 0 %, 0 %, 43
2025/05/15 14:54:25.935, 0 %, 0 %, 43
2025/05/15 14:54:30.935, 0 %, 0 %, 43
2025/05/15 14:54:35.936, 0 %, 0 %, 43
2025/05/15 14:54:40.936, 0 %, 0 %, 43
2025/05/15 14:54:45.937, 0 %, 0 %, 43
2025/05/15 14:54:50.937, 0 %, 0 %, 43
2025/05/15 14:54:55.938, 0 %, 0 %, 43
2025/05/15 14:55:00.938, 0 %, 0 %, 43
