timestamp,gpu_util,fb_used,fb_free,temperature,power_usage,energy_consumption
2025-08-31T23:43:18.158005,84.0,84242.0,11107.0,67.0,498.288,532093943838.0
2025-08-31T23:43:18.257894,84.0,84242.0,11107.0,66.0,467.025,532093991319.0
2025-08-31T23:43:18.358150,83.0,84242.0,11107.0,64.0,437.698,532094031815.0
2025-08-31T23:43:18.458084,85.0,84242.0,11107.0,61.0,414.001,532094061390.0
2025-08-31T23:43:18.558092,85.0,84242.0,11107.0,60.0,409.531,532094091323.0
2025-08-31T23:43:18.658092,85.0,84242.0,11107.0,59.0,401.443,532094119473.0
2025-08-31T23:43:18.758230,91.0,84242.0,11107.0,58.0,395.036,532094145868.0
2025-08-31T23:43:18.858146,94.0,84242.0,11107.0,58.0,371.44,532094173562.0
2025-08-31T23:43:18.958208,94.0,84242.0,11107.0,58.0,351.192,532094201524.0
2025-08-31T23:43:19.057980,94.0,84242.0,11107.0,57.0,327.01,532094229912.0
2025-08-31T23:43:19.158066,94.0,84242.0,11107.0,56.0,303.514,532094254069.0
2025-08-31T23:43:19.258150,69.0,84242.0,11107.0,63.0,306.075,532094294917.0
2025-08-31T23:43:19.358183,69.0,84242.0,11107.0,65.0,338.071,532094354207.0
2025-08-31T23:43:19.458177,85.0,84242.0,11107.0,62.0,372.472,532094410734.0
2025-08-31T23:43:19.558185,85.0,84242.0,11107.0,67.0,407.574,532094410734.0
2025-08-31T23:43:19.658187,100.0,84242.0,11107.0,68.0,450.767,532094474036.0
2025-08-31T23:43:19.758273,100.0,84242.0,11107.0,68.0,489.682,532094540709.0
2025-08-31T23:43:19.858189,100.0,84242.0,11107.0,69.0,528.557,532094674256.0
2025-08-31T23:43:19.958223,100.0,84242.0,11107.0,67.0,554.994,532094736526.0
2025-08-31T23:43:20.058167,100.0,84242.0,11107.0,69.0,603.207,532094795503.0
2025-08-31T23:43:20.158227,93.0,84242.0,11107.0,70.0,603.207,532094864007.0
2025-08-31T23:43:20.258179,93.0,84242.0,11107.0,65.0,623.315,532094915063.0
2025-08-31T23:43:20.358120,90.0,84242.0,11107.0,63.0,600.523,532094949270.0
2025-08-31T23:43:20.457986,90.0,84242.0,11107.0,63.0,571.29,532094982626.0
2025-08-31T23:43:20.558021,77.0,84242.0,11107.0,62.0,551.002,532095020657.0
2025-08-31T23:43:20.658194,77.0,84242.0,11107.0,67.0,524.941,532095064649.0
2025-08-31T23:43:20.758217,81.0,84242.0,11107.0,68.0,519.44,532095124081.0
2025-08-31T23:43:20.857994,81.0,84242.0,11107.0,65.0,516.155,532095185419.0
2025-08-31T23:43:20.958060,92.0,84242.0,11107.0,64.0,496.238,532095228749.0
2025-08-31T23:43:21.058080,92.0,84242.0,11107.0,62.0,475.54,532095261942.0
2025-08-31T23:43:21.158044,74.0,84242.0,11107.0,61.0,434.503,532095292887.0
2025-08-31T23:43:21.258037,74.0,84242.0,11107.0,61.0,434.503,532095322666.0
2025-08-31T23:43:21.358052,74.0,84242.0,11107.0,60.0,408.069,532095322666.0
2025-08-31T23:43:21.458148,84.0,84242.0,11107.0,59.0,403.029,532095351740.0
2025-08-31T23:43:21.558063,84.0,84242.0,11107.0,58.0,398.489,532095380417.0
2025-08-31T23:43:21.658051,90.0,84242.0,11107.0,58.0,386.497,532095407506.0
2025-08-31T23:43:21.758111,90.0,84242.0,11107.0,57.0,369.072,532095456005.0
2025-08-31T23:43:21.858165,94.0,84242.0,11107.0,61.0,327.307,532095510754.0
2025-08-31T23:43:21.958186,94.0,84242.0,11107.0,65.0,354.888,532095575423.0
2025-08-31T23:43:22.058186,66.0,84242.0,11107.0,66.0,371.933,532095625656.0
2025-08-31T23:43:22.158219,66.0,84242.0,11107.0,67.0,411.44,532095691595.0
2025-08-31T23:43:22.258271,83.0,84242.0,11107.0,67.0,449.318,532095758447.0
2025-08-31T23:43:22.358205,83.0,84242.0,11107.0,68.0,487.809,532095822626.0
2025-08-31T23:43:22.458199,100.0,84242.0,11107.0,69.0,530.03,532095887777.0
2025-08-31T23:43:22.558395,100.0,84242.0,11107.0,69.0,564.987,532095954892.0
2025-08-31T23:43:22.658225,100.0,84242.0,11107.0,69.0,617.699,532096024551.0
2025-08-31T23:43:22.758300,100.0,84242.0,11107.0,69.0,636.415,532096095833.0
2025-08-31T23:43:22.858218,100.0,84242.0,11107.0,65.0,606.739,532096133358.0
2025-08-31T23:43:22.958241,100.0,84242.0,11107.0,63.0,579.582,532096166900.0
2025-08-31T23:43:23.058039,86.0,84242.0,11107.0,62.0,562.992,532096199198.0
2025-08-31T23:43:23.158241,86.0,84242.0,11107.0,62.0,535.502,532096236230.0
2025-08-31T23:43:23.258133,86.0,84242.0,11107.0,62.0,535.502,532096286163.0
2025-08-31T23:43:23.358170,76.0,84242.0,11107.0,67.0,522.08,532096338217.0
2025-08-31T23:43:23.458173,76.0,84242.0,11107.0,65.0,506.521,532096382902.0
2025-08-31T23:43:23.558032,82.0,84242.0,11107.0,66.0,489.884,532096382902.0
2025-08-31T23:43:23.658129,82.0,84242.0,11107.0,68.0,470.634,532096436779.0
2025-08-31T23:43:23.758029,84.0,84242.0,11107.0,62.0,424.511,532096481035.0
2025-08-31T23:43:23.858190,84.0,84242.0,11107.0,61.0,408.238,532096511876.0
2025-08-31T23:43:23.958223,84.0,84242.0,11107.0,60.0,404.208,532096570331.0
2025-08-31T23:43:24.057986,84.0,84242.0,11107.0,59.0,401.475,532096599681.0
2025-08-31T23:43:24.158015,90.0,84242.0,11107.0,58.0,391.721,532096626375.0
2025-08-31T23:43:24.258057,90.0,84242.0,11107.0,58.0,360.652,532096650687.0
2025-08-31T23:43:24.358143,74.0,84242.0,11107.0,63.0,373.986,532096707768.0
2025-08-31T23:43:24.458219,74.0,84242.0,11107.0,64.0,377.097,532096759420.0
2025-08-31T23:43:24.558172,90.0,84242.0,11107.0,66.0,372.022,532096814108.0
2025-08-31T23:43:24.658187,86.0,84242.0,11107.0,66.0,403.426,532096875722.0
2025-08-31T23:43:24.758227,86.0,84242.0,11107.0,69.0,439.592,532096942193.0
2025-08-31T23:43:24.858186,100.0,84242.0,11107.0,69.0,474.475,532097006033.0
2025-08-31T23:43:24.958215,100.0,84242.0,11107.0,69.0,520.293,532097074183.0
2025-08-31T23:43:25.058138,100.0,84242.0,11107.0,70.0,555.293,532097141781.0
2025-08-31T23:43:25.158175,100.0,84242.0,11107.0,70.0,555.293,532097207481.0
2025-08-31T23:43:25.258116,100.0,84242.0,11107.0,70.0,596.076,532097207481.0
2025-08-31T23:43:25.358151,100.0,84242.0,11107.0,66.0,631.997,532097276265.0
2025-08-31T23:43:25.458177,100.0,84242.0,11107.0,64.0,608.981,532097361699.0
2025-08-31T23:43:25.558101,79.0,84242.0,11107.0,62.0,586.598,532097395019.0
2025-08-31T23:43:25.658030,79.0,84242.0,11107.0,62.0,567.396,532097429170.0
2025-08-31T23:43:25.758125,75.0,84242.0,11107.0,64.0,541.916,532097471056.0
2025-08-31T23:43:25.857989,75.0,84242.0,11107.0,66.0,524.859,532097528117.0
2025-08-31T23:43:25.958133,80.0,84242.0,11107.0,65.0,512.696,532097580098.0
2025-08-31T23:43:26.058076,80.0,84242.0,11107.0,65.0,494.332,532097634427.0
2025-08-31T23:43:26.158016,83.0,84242.0,11107.0,66.0,477.994,532097676213.0
2025-08-31T23:43:26.258097,83.0,84242.0,11107.0,62.0,444.945,532097715472.0
2025-08-31T23:43:26.358014,79.0,84242.0,11107.0,60.0,417.593,532097744429.0
2025-08-31T23:43:26.458080,79.0,84242.0,11107.0,60.0,414.532,532097774578.0
2025-08-31T23:43:26.558193,88.0,84242.0,11107.0,59.0,409.428,532097802828.0
2025-08-31T23:43:26.658084,88.0,84242.0,11107.0,58.0,403.627,532097830457.0
2025-08-31T23:43:26.758065,93.0,84242.0,11107.0,58.0,389.677,532097857653.0
2025-08-31T23:43:26.858176,93.0,84242.0,11107.0,58.0,356.324,532097881900.0
2025-08-31T23:43:26.958195,93.0,84242.0,11107.0,61.0,359.048,532097881900.0
2025-08-31T23:43:27.058171,58.0,84242.0,11107.0,65.0,366.601,532097932813.0
2025-08-31T23:43:27.158222,58.0,84242.0,11107.0,62.0,376.086,532097994147.0
2025-08-31T23:43:27.258221,92.0,84242.0,11107.0,67.0,409.56,532098110686.0
2025-08-31T23:43:27.358177,92.0,84242.0,11107.0,68.0,409.56,532098178057.0
2025-08-31T23:43:27.458186,85.0,84242.0,11107.0,70.0,450.35,532098249508.0
2025-08-31T23:43:27.558275,85.0,84242.0,11107.0,70.0,486.54,532098315951.0
2025-08-31T23:43:27.658203,100.0,84242.0,11107.0,71.0,521.901,532098384087.0
2025-08-31T23:43:27.758269,100.0,84242.0,11107.0,69.0,563.367,532098455857.0
2025-08-31T23:43:27.858214,100.0,84242.0,11107.0,70.0,617.206,532098519800.0
2025-08-31T23:43:27.958211,100.0,84242.0,11107.0,64.0,602.9,532098553030.0
2025-08-31T23:43:28.058096,96.0,84242.0,11107.0,63.0,578.852,532098587036.0
2025-08-31T23:43:28.158020,76.0,84242.0,11107.0,62.0,559.661,532098619983.0
2025-08-31T23:43:28.258103,76.0,84242.0,11107.0,64.0,541.345,532098660754.0
2025-08-31T23:43:28.358010,75.0,84242.0,11107.0,66.0,522.341,532098712182.0
2025-08-31T23:43:28.458083,75.0,84242.0,11107.0,62.0,483.035,532098746972.0
2025-08-31T23:43:28.558080,73.0,84242.0,11107.0,63.0,451.414,532098780464.0
2025-08-31T23:43:28.657510,73.0,84242.0,11107.0,64.0,438.141,532098825352.0
2025-08-31T23:43:28.757965,76.0,84242.0,11107.0,68.0,415.177,532098888153.0
2025-08-31T23:43:28.858180,76.0,84242.0,11107.0,68.0,415.177,532098888153.0
2025-08-31T23:43:28.958171,76.0,84242.0,11107.0,62.0,403.928,532098924684.0
2025-08-31T23:43:29.058056,89.0,84242.0,11107.0,60.0,399.681,532098953818.0
2025-08-31T23:43:29.157992,89.0,84242.0,11107.0,60.0,395.261,532098983260.0
2025-08-31T23:43:29.258157,86.0,84242.0,11107.0,59.0,387.579,532099041338.0
2025-08-31T23:43:29.357664,86.0,84242.0,11107.0,58.0,369.812,532099069459.0
2025-08-31T23:43:29.457884,73.0,84242.0,11107.0,58.0,350.086,532099092299.0
2025-08-31T23:43:29.557979,73.0,84242.0,11107.0,60.0,361.804,532099139376.0
2025-08-31T23:43:29.658255,88.0,84242.0,11107.0,64.0,369.921,532099192844.0
2025-08-31T23:43:29.758220,88.0,84242.0,11107.0,63.0,371.607,532099256683.0
2025-08-31T23:43:29.858177,83.0,84242.0,11107.0,65.0,381.555,532099309799.0
2025-08-31T23:43:29.958213,83.0,84242.0,11107.0,68.0,420.502,532099378335.0
2025-08-31T23:43:30.058035,100.0,84242.0,11107.0,69.0,469.413,532099447981.0
2025-08-31T23:43:30.158307,100.0,84242.0,11107.0,68.0,505.361,532099517432.0
2025-08-31T23:43:30.257882,100.0,84242.0,11107.0,68.0,550.799,532099585172.0
2025-08-31T23:43:30.357681,100.0,84242.0,11107.0,70.0,592.843,532099653338.0
2025-08-31T23:43:30.458770,100.0,84242.0,11107.0,71.0,645.862,532099722160.0
2025-08-31T23:43:30.562297,100.0,84242.0,11107.0,64.0,643.192,532099781196.0
